CRN|Course Code|Course Number|Course Name|Academician|Exam Type|Exam Location|Day|Time|Date|Branch Code
30280|DUI|103E|Seamanship|Orhan Gönel|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Cuma|09:00-11:00|22 Ağustos 2025|DUI
30281|DUI|472|Oşinografi|Ayşe Nak|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Perşembe|09:00-11:00|21 Ağustos 2025|DUI
30282|DFH|278E|Maritime Economics|Sinan Çakır|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Çarşamba|09:00-11:00|20 Ağustos 2025|DFH
30283|DUI|407E|Cargo Handl and Stowage|Cenk Ay|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Salı|09:00-11:00|19 Ağustos 2025|DUI
30285|DUI|311E|Celestial Navigation|Orhan Gönel|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Perşembe|15:00-17:00|21 Ağustos 2025|DUI
30286|DUI|305E|Ship Hndl.and Manouvering|Cenk Ay|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Çarşamba|15:00-17:00|20 Ağustos 2025|DUI
30288|ICM|366E|Interior Arch.Desgn Studio III|Ethem Gürer|Final Sınavı|Taşkışla/Mimarlık Binası-302|Pazartesi|09:00-11:00|18 Ağustos 2025|ICM
30289|ICM|449E|Interior Arch.Desgn Studio IV|Ethem Gürer|Final Sınavı|Taşkışla/Mimarlık Binası-313|Salı|09:00-11:00|19 Ağustos 2025|ICM
30290|CAB|244|Yrd.Çalgı Piyano IV|Alper Rumelioğlu|Final Sınavı|Maçka/Konservatuvar Binası-İlgili Bölümce Açıklanacak|Pazar|13:00-14:00|17 Ağustos 2025|CAB
30291|CAB|243|Yrd.Çalgı Piyano III|Alper Rumelioğlu|Final Sınavı|Maçka/Konservatuvar Binası-İlgili Bölümce Açıklanacak|Pazar|14:30-15:20|17 Ağustos 2025|CAB
30292|CAB|344|Yrd.Çalgı Piyano VI|Alper Rumelioğlu|Final Sınavı|Maçka/Konservatuvar Binası-İlgili Bölümce Açıklanacak|Pazar|15:40-16:30|17 Ağustos 2025|CAB
30294|MUZ|357|İleri Osmanlıca I|Gözde Çolakoğlu Sarı|Final Sınavı|Maçka/Konservatuvar Binası-İlgili Bölümce Açıklanacak|Pazartesi|09:30-11:30|18 Ağustos 2025|MUZ
30304|FIZ|101|Fizik I|Haluk Özbek|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D102|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30305|FIZ|101|Fizik I|Haluk Özbek|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D104|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30306|JEO|222|Jeomekanik|Yılmaz Mahmutoğlu|Final Sınavı|Ayazağa/Maden Binası-A203|Pazartesi|09:00-11:00|18 Ağustos 2025|JEO
30307|BLG|222E|Computer Organization|Kadir Özlem|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-104|Salı|09:00-11:00|19 Ağustos 2025|BLG
30308|BLG|312E|Computer Operating Systems|Nizamettin Aydın|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-123|Cuma|09:00-11:00|22 Ağustos 2025|BLG
30309|BLG|322E|Computer Architecture|Nizamettin Aydın|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-İlgili Bölümce Açıklanacak|Çarşamba|09:00-11:00|20 Ağustos 2025|BLG
30310|BLG|223E|Data Structures|Yusuf Hüseyin Şahin|Final Sınavı|Ayazağa/Bilgisayar ve Bilişim Binası-İlgili Bölümce Açıklanacak|Perşembe|12:00-14:00|21 Ağustos 2025|BLG
30311|INS|217|Mukavemet I|Teoman Özer|Final Sınavı|Ayazağa/İnşaat Binası-A105|Cuma|09:00-11:00|22 Ağustos 2025|INS
30312|INS|218|Mukavemet II|Teoman Özer|Final Sınavı|Ayazağa/İnşaat Binası-A105|Cuma|15:00-17:00|22 Ağustos 2025|INS
30313|INS|360E|Hydraulics|Erdal Kesgin|Final Sınavı|Ayazağa/İnşaat Binası-A105|Salı|12:00-14:00|19 Ağustos 2025|INS
30314|AKM|204E|Fluid Mechanics|Erdal Kesgin|Final Sınavı|Ayazağa/İnşaat Binası-A102|Çarşamba|09:00-11:00|20 Ağustos 2025|AKM
30315|INS|354|Hidroloji|Yavuz Selim Güçlü|Final Sınavı|Ayazağa/İnşaat Binası-B305|Cuma|09:00-11:00|22 Ağustos 2025|INS
30317|DNK|201E|Dynamics|Ünal Aldemir|Final Sınavı|Ayazağa/İnşaat Binası-B101, Ayazağa/İnşaat Binası-B103|Salı|09:00-11:00|19 Ağustos 2025|DNK
30318|UCK|421|Tepki ile Tahrik|Cemil Kurtcebe|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10|Cuma|15:00-17:00|22 Ağustos 2025|UCK
30319|UZB|314E|Heat Transfer|Cemil Kurtcebe|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18|Pazartesi|15:00-17:00|18 Ağustos 2025|UZB
30320|MUK|211|Mukavemet|Tahir Soyugüzel|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-3D20|Pazartesi|12:00-14:00|18 Ağustos 2025|MUK
30321|MUK|211E|Strength of Materials|Tahir Soyugüzel|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18|Pazartesi|12:00-14:00|18 Ağustos 2025|MUK
30323|GEO|314E|Geodesy II and Projections|Serdar Erol|Final Sınavı|Ayazağa/İnşaat Binası-A1|Pazartesi|09:00-11:00|18 Ağustos 2025|GEO
30324|GEO|203E|Coordinate Sys. and Geodesy I|Serdar Erol|Final Sınavı|Ayazağa/İnşaat Binası-B305|Çarşamba|12:00-14:00|20 Ağustos 2025|GEO
